Location	alt_Name	latitude	longitude	lat_long	altitude_span	altitude	SOIUSA	SOIUSA_Grande_Parte	SOIUSA_Grande_Settore	SOIUSA_Sezione	SOIUSA_Sottosezione	SOIUSA_Supergruppo	SOIUSA_Gruppo	SOIUSA_Sottogruppo	SOIUSA_Codice
Croda dei Baranci		46.689416	12.276556	46.689416,12.276556	2500	2922	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Sesto, di Braies e d'Ampezzo > Dolomiti di Sesto > Gruppo Rondoi-Baranci > Nodo della Croda dei Baranci	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Sesto, di Braies e d'Ampezzo	Dolomiti di Sesto	Gruppo Rondoi-Baranci	Nodo della Croda dei Baranci	II/C-31.I-A.1.b
Becca di Montandayné		45.533668	7.268558	45.533668,7.268558	3500	3838	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Gran Paradiso > Massiccio del Gran Paradiso > Gruppo Gran Paradiso-Roccia Viva > Sottogruppo del Gran Paradiso	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Gran Paradiso	Massiccio del Gran Paradiso	Gruppo Gran Paradiso-Roccia Viva	Sottogruppo del Gran Paradiso	I/B-7.IV-A.2.a
Cima dei Preti		46.34232	12.42105	46.34232,12.42105	2500	2707	Alpi Orientali > Alpi Sud-orientali > Alpi Carniche e della Gail > Prealpi Carniche > Catena Duranno-Monfalconi-Pramaggiore > Gruppo del Duranno	Alpi Orientali	Alpi Sud-orientali	Alpi Carniche e della Gail	Prealpi Carniche	Catena Duranno-Monfalconi-Pramaggiore	Gruppo del Duranno		II/C-33.III-A.3
Cimon del Froppa		46.507352	12.340558	46.507352,12.340558	2500	2932	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Sesto, di Braies e d'Ampezzo > Dolomiti Cadorine > Gruppo delle Marmarole > Sottogruppo delle Marmarole	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Sesto, di Braies e d'Ampezzo	Dolomiti Cadorine	Gruppo delle Marmarole	Sottogruppo delle Marmarole	II/C-31.I-E.21.b
Creta Forata		46.5425	12.73629	46.5425,12.73629	2000	2462	Alpi Orientali > Alpi Sud-orientali > Alpi Carniche e della Gail > Alpi Carniche > Alpi tolmezzine occidentali > Dolomiti Pesarine > Gruppo del Siera	Alpi Orientali	Alpi Sud-orientali	Alpi Carniche e della Gail	Alpi Carniche	Alpi tolmezzine occidentali	Dolomiti Pesarine	Gruppo del Siera	II/C-33.I-C.7.a
Croda Rossa d'Ampezzo		46.639749	12.138691	46.639749,12.138691	3000	3146	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Sesto, di Braies e d'Ampezzo > Dolomiti di Braies > Gruppo della Croda Rossa d'Ampezzo > Sottogruppo della Croda d'Ampezzo	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Sesto, di Braies e d'Ampezzo	Dolomiti di Braies	Gruppo della Croda Rossa d'Ampezzo	Sottogruppo della Croda d'Ampezzo	II/C-31.I-B.9.a
Gran Zebrù		46.47861	10.56833	46.47861,10.56833	3500	3857	Alpi Orientali > Alpi Sud-orientali > Alpi Retiche meridionali > Alpi dell'Ortles > Gruppo Ortles-Cevedale > Gruppo dell'Ortles > Gruppo Ortles-Gran Zebrù	Alpi Orientali	Alpi Sud-orientali	Alpi Retiche meridionali	Alpi dell'Ortles	Gruppo Ortles-Cevedale	Gruppo dell'Ortles	Gruppo Ortles-Gran Zebrù	II/C-28.I-A.1.c
Monte Duranno		46.32957	12.40262	46.32957,12.40262	2500	2652	Alpi Orientali > Alpi Sud-orientali > Alpi Carniche e della Gail > Prealpi Carniche > Dolomiti Friulane > Gruppo del Duranno	Alpi Orientali	Alpi Sud-orientali	Alpi Carniche e della Gail	Prealpi Carniche	Dolomiti Friulane	Gruppo del Duranno		II/C-33.III-A.3
Monte Popera		46.627022	12.388966	46.627022,12.388966	3000	3046	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Sesto, di Braies e d'Ampezzo > Dolomiti di Sesto > Gruppo del Popera > Sottogruppo di Cima Undici	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Sesto, di Braies e d'Ampezzo	Dolomiti di Sesto	Gruppo del Popera	Sottogruppo di Cima Undici	II/C-31.I-A.8.a
Monte Siera		46.54929	12.7111	46.54929,12.7111	2000	2443	Alpi Orientali > Alpi Sud-orientali > Alpi Carniche e della Gail > Alpi Carniche > Alpi tolmezzine occidentali > Dolomiti Pesarine > Gruppo del Siera	Alpi Orientali	Alpi Sud-orientali	Alpi Carniche e della Gail	Alpi Carniche	Alpi tolmezzine occidentali	Dolomiti Pesarine	Gruppo del Siera	II/C-33.I-C.7.a
Monte Terza Grande		46.5269	12.6217	46.5269,12.6217	2500	2586	Alpi Orientali > Alpi Sud-orientali > Alpi Carniche e della Gail > Alpi Carniche > Alpi Tolmezzine Occidentali > Dolomiti Pesarine > Gruppo delle Terze	Alpi Orientali	Alpi Sud-orientali	Alpi Carniche e della Gail	Alpi Carniche	Alpi Tolmezzine Occidentali	Dolomiti Pesarine	Gruppo delle Terze	II/C-33.I-C.7.c
Zinalrothorn		46.064722	7.69	46.064722,7.69	4000	4221	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Weisshorn e del Cervino > Catena Weisshorn-Zinalrothorn > Gruppo Obergabelhorn-Zinalrothorn	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Weisshorn e del Cervino	Catena Weisshorn-Zinalrothorn	Gruppo Obergabelhorn-Zinalrothorn		I/B-9.II-D.7
Ago di Sciora		46.3016	9.62599	46.3016,9.62599	3000	3205	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche occidentali > Alpi del Bernina > Monti della Val Bregaglia > Gruppo del Castello > Costiera Sciora-Cacciabella	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche occidentali	Alpi del Bernina	Monti della Val Bregaglia	Gruppo del Castello	Costiera Sciora-Cacciabella	II/A-15.III-B.3.d
Aiguille d'Argentière		45.960417	7.019556	45.960417,7.019556	3500	3898	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Monte Bianco > Massiccio Dolent-Argentière-Trient > Catena Dolent-Tour Noir-Argentière > Gruppo d'Argentière	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Monte Bianco	Massiccio Dolent-Argentière-Trient	Catena Dolent-Tour Noir-Argentière	Gruppo d'Argentière	I/B-7.V-C.6.c
Aiguille de la Bérangère		45.8034	6.7786	45.8034,6.7786	3000	3425	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Monte Bianco > Massiccio di Trélatête > Catena Trélatête-Dômes de Miage > Gruppo dei Dômes de Miage	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Monte Bianco	Massiccio di Trélatête	Catena Trélatête-Dômes de Miage	Gruppo dei Dômes de Miage	I/B-7.V-A.1.c/b
Aiguille de Rochefort		45.861782	6.957557	45.861782,6.957557	4000	4001	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Monte Bianco > Massiccio del Monte Bianco > Catena Rochefort-Grandes Jorasses-Leschaux > Gruppo di Rochefort	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Monte Bianco	Massiccio del Monte Bianco	Catena Rochefort-Grandes Jorasses-Leschaux	Gruppo di Rochefort	I/B-7.V-B.4.a/b
Aiguille Verte		45.933056	6.716389	45.933056,6.716389	4000	4121	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Monte Bianco > Massiccio del Monte Bianco > Catena dell'Aiguille Verte > Gruppo Aiguille Verte-Aiguilles du Dru	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Monte Bianco	Massiccio del Monte Bianco	Catena dell'Aiguille Verte	Gruppo Aiguille Verte-Aiguilles du Dru	I/B-7.V-B.5.c/a
Ankogel		47.051111	13.248611	47.051111,13.248611	3000	3252	Alpi Orientali > Alpi Centro-orientali > Alpi dei Tauri occidentali > Alti Tauri > Gruppo dell'Ankogel > Gruppo dell'Ankogel p.d. > Catena principale dell'Ankogel	Alpi Orientali	Alpi Centro-orientali	Alpi dei Tauri occidentali	Alti Tauri	Gruppo dell'Ankogel	Gruppo dell'Ankogel p.d.	Catena principale dell'Ankogel	II/A-17.II-F.13.a
Bietschhorn		46.390833	7.850556	46.390833,7.850556	3500	3934	Alpi Occidentali > Alpi Nord-occidentali > Alpi bernesi > Alpi bernesiin senso stretto > Catena Aletschhorn-Bietschhorn > Gruppo del Bietschhorn	Alpi Occidentali	Alpi Nord-occidentali	Alpi bernesi	Alpi bernesiin senso stretto	Catena Aletschhorn-Bietschhorn	Gruppo del Bietschhorn		I/B-12.II-E.14
Bifertenstock		46.804366	8.957613	46.804366,8.957613	3000	3421	Alpi Occidentali > Alpi Nord-occidentali > Alpi Glaronesi > Alpi Glaronesiin senso stretto > Catena Tödi-Hausstock > Gruppo del Muttsee	Alpi Occidentali	Alpi Nord-occidentali	Alpi Glaronesi	Alpi Glaronesiin senso stretto	Catena Tödi-Hausstock	Gruppo del Muttsee		I/B-13.II-A.2
Bric Bucie		44.823	7.024	44.823,7.024	2500	2997	Alpi Occidentali > Alpi Sud-occidentali > Alpi Cozie > Alpi del Monginevro > Catena Bucie-Grand Queyron-Orsiera > Gruppo Bucie-Cornour > Gruppo del Bric Bucie	Alpi Occidentali	Alpi Sud-occidentali	Alpi Cozie	Alpi del Monginevro	Catena Bucie-Grand Queyron-Orsiera	Gruppo Bucie-Cornour	Gruppo del Bric Bucie	I/A-4.II-1-A.1.a
Campo Tencia		46.440556	8.709444	46.440556,8.709444	3000	3071	Alpi Occidentali > Alpi Nord-occidentali > Alpi Lepontine > Alpi Ticinesi e del Verbano > Catena Campo Tencia-Zucchero-Madone Grosso > Gruppo del Campo Tencia i.s.a. > Gruppo del Pizzo Campo Tencia	Alpi Occidentali	Alpi Nord-occidentali	Alpi Lepontine	Alpi Ticinesi e del Verbano	Catena Campo Tencia-Zucchero-Madone Grosso	Gruppo del Campo Tencia i.s.a.	Gruppo del Pizzo Campo Tencia	I/B-10.II-D.9.c
Cima di Nasta		44.166537	7.305393	44.166537,7.305393	3000	3108	Alpi Occidentali > Alpi Sud-occidentali > Alpi Marittime e Prealpi di Nizza > Alpi Marittime > Catena Argentera-Pépoiri-Matto > Gruppo di Brocan > Catena Ghiliè-Brocan-Nasta	Alpi Occidentali	Alpi Sud-occidentali	Alpi Marittime e Prealpi di Nizza	Alpi Marittime	Catena Argentera-Pépoiri-Matto	Gruppo di Brocan	Catena Ghiliè-Brocan-Nasta	I/A-2.I-B.5.b/d
Cima Piazzi		46.417695	10.285521	46.417695,10.285521	3000	3440	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche occidentali > Alpi di Livigno > Catena Piazzi-Paradisino > Gruppo dei Piazzi	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche occidentali	Alpi di Livigno	Catena Piazzi-Paradisino	Gruppo dei Piazzi		
Crast' Agüzza		46.370394	9.917085	46.370394,9.917085	3500	3870	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche occidentali > Alpi del Bernina > Catena Bernina-Scalino > Massiccio del Bernina > Sottogruppo dello Zupò	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche occidentali	Alpi del Bernina	Catena Bernina-Scalino	Massiccio del Bernina	Sottogruppo dello Zupò	II/A-15.III-A.1.d
Fluchthorn (Alpi Retiche occidentali)		46.893056	10.226944	46.893056,10.226944	3000	3397	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche occidentali > Alpi del Silvretta, del Samnaun e del Verwall > Gruppo del Silvretta > Catena Fluchthorn-Paraid Naira > Gruppo del Fluchthorn	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche occidentali	Alpi del Silvretta, del Samnaun e del Verwall	Gruppo del Silvretta	Catena Fluchthorn-Paraid Naira	Gruppo del Fluchthorn	II/A-15.VI-A.4.a
Grand Cornier		46.052111	7.611722	46.052111,7.611722	3500	3962	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Weisshorn e del Cervino > Catena Dent Blanche-Grand Cornier > Gruppo del Grand Cornier > Catena Grand Cornier-Pigne de la Lé	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Weisshorn e del Cervino	Catena Dent Blanche-Grand Cornier	Gruppo del Grand Cornier	Catena Grand Cornier-Pigne de la Lé	I/B-9.II-C.6.a
La Ruinette		45.979111	7.400361	45.979111,7.400361	3500	3875	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Grand Combin > Catena Arolla-Cheilon-Pleureur > Gruppo Arolla-Cheilon-Ruinette	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Grand Combin	Catena Arolla-Cheilon-Pleureur	Gruppo Arolla-Cheilon-Ruinette		I/B-9.I-D.8
Lasörling		46.976036	12.355363	46.976036,12.355363	3000	3098	Alpi Orientali > Alpi Centro-orientali > Alpi dei Tauri occidentali > Alti Tauri > Gruppo del Venediger > Gruppo del Lasörling > Catena del Lasörling	Alpi Orientali	Alpi Centro-orientali	Alpi dei Tauri occidentali	Alti Tauri	Gruppo del Venediger	Gruppo del Lasörling	Catena del Lasörling	II/A-17.II-A.3.b
Mont Blanc de Cheilon		45.993083	7.417139	45.993083,7.417139	3500	3870	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Grand Combin > Catena Arolla-Cheilon-Pleureur > Gruppo Arolla-Cheilon-Ruinette	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Grand Combin	Catena Arolla-Cheilon-Pleureur	Gruppo Arolla-Cheilon-Ruinette		I/B-9.I-D.8
Mont Pourri		45.528479	6.85976	45.528479,6.85976	3500	3779	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi della Vanoise e del Grand Arc > Massiccio del Monte Pourri > Gruppo del Monte Pourri	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi della Vanoise e del Grand Arc	Massiccio del Monte Pourri	Gruppo del Monte Pourri		I/B-7.II-C.7
Monte Caplone		45.802077	10.641274	45.802077,10.641274	1500	1976	Alpi Orientali > Alpi Sud-orientali > Prealpi Bresciane e Gardesane > Prealpi Gardesane > Prealpi Gardesane Sud-occidentali > Gruppo del Caplone > II/C-30.II-B.4	Alpi Orientali	Alpi Sud-orientali	Prealpi Bresciane e Gardesane	Prealpi Gardesane	Prealpi Gardesane Sud-occidentali	Gruppo del Caplone	II/C-30.II-B.4	
Palla Bianca		46.797722	10.726083	46.797722,10.726083	3500	3736	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche orientali > Alpi Venoste > Alpi Venoste Orientali > Gruppo della Palla Bianca > Nodo della Palla Bianca	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche orientali	Alpi Venoste	Alpi Venoste Orientali	Gruppo della Palla Bianca	Nodo della Palla Bianca	II/A-16.I-A.2.e
Parseierspitze		47.174266	10.478226	47.174266,10.478226	3000	3036	Alpi Orientali > Alpi Nord-orientali > Alpi calcaree nordtirolesi > Alpi della Lechtal > Catena del Parseier > Catena Parseierspitze-Leiterspitze > Gruppo del Parseier	Alpi Orientali	Alpi Nord-orientali	Alpi calcaree nordtirolesi	Alpi della Lechtal	Catena del Parseier	Catena Parseierspitze-Leiterspitze	Gruppo del Parseier	II/B-21.I-A.3.a/a
Piz Bacun		46.342111	9.682167	46.342111,9.682167	3000	3244	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche occidentali > Alpi del Bernina > Monti della Val Bregaglia > Gruppo del Castello > Catena Cima di Castello-Piz Bacun	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche occidentali	Alpi del Bernina	Monti della Val Bregaglia	Gruppo del Castello	Catena Cima di Castello-Piz Bacun	II/A-15.III-B.3.b
Piz Buin		46.84412	10.11889	46.84412,10.11889	3000	3312	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche occidentali > Alpi del Silvretta, del Samnaun e del Verwall > Gruppo del Silvretta > Catena Silvrettahorn-Piz Buin-Augstenberg > Gruppo Buin-Fliana	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche occidentali	Alpi del Silvretta, del Samnaun e del Verwall	Gruppo del Silvretta	Catena Silvrettahorn-Piz Buin-Augstenberg	Gruppo Buin-Fliana	II/A-15.VI-A.2.b/a
Pizzi Gemelli		46.2934	9.61117	46.2934,9.61117	3000	3262	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche occidentali > Alpi del Bernina > Monti della Val Bregaglia > Gruppo del Castello > Catena Pizzo Badile-Pizzo Cengalo	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche occidentali	Alpi del Bernina	Monti della Val Bregaglia	Gruppo del Castello	Catena Pizzo Badile-Pizzo Cengalo	II/A-15.III-B.3.e
Punta Sulè		45.231	7.137	45.231,7.137	3000	3384	Alpi Occidentali > Alpi Sud-occidentali > Alpi Graie > Alpi di Lanzo e dell'Alta Moriana > Catena Arnas-Ciamarella > Gruppo Autaret-Ovarda > Cresta Autaret-Lera-Arnas	Alpi Occidentali	Alpi Sud-occidentali	Alpi Graie	Alpi di Lanzo e dell'Alta Moriana	Catena Arnas-Ciamarella	Gruppo Autaret-Ovarda	Cresta Autaret-Lera-Arnas	I/B-7.I-B.4.a
Punta Whymper		45.869014	6.985109	45.869014,6.985109	4000	4184	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Monte Bianco > Massiccio del Monte Bianco > Catena Rochefort-Grandes Jorasses-Leschaux > Gruppo delle Grandes Jorasses	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Monte Bianco	Massiccio del Monte Bianco	Catena Rochefort-Grandes Jorasses-Leschaux	Gruppo delle Grandes Jorasses	I/B-7.V-B.4.b
Sciora di Fuori		46.304243	9.62779	46.304243,9.62779	3000	3169	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche occidentali > Alpi del Bernina > Monti della Val Bregaglia > Gruppo del Castello > Costiera Sciora-Cacciabella	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche occidentali	Alpi del Bernina	Monti della Val Bregaglia	Gruppo del Castello	Costiera Sciora-Cacciabella	II/A-15.III-B.3.d
Sustenhorn		46.699222	8.454639	46.699222,8.454639	3500	3503	Alpi Occidentali > Alpi Nord-occidentali > Alpi Bernesi > Alpi Urane > Catena del Dammastock-Sustenhorn > Gruppo del Sustenhorn > Catena Sustenhorn-Berseeschijen	Alpi Occidentali	Alpi Nord-occidentali	Alpi Bernesi	Alpi Urane	Catena del Dammastock-Sustenhorn	Gruppo del Sustenhorn	Catena Sustenhorn-Berseeschijen	I/B-12.I-A.2.a
Wildhorn		46.354508	7.360725	46.354508,7.360725	3000	3248	Alpi Occidentali > Alpi Nord-occidentali > Alpi Bernesi > Alpi Bernesiin senso stretto > Catena Wildhorn-Wildstrubel > Gruppo del Wildhorn	Alpi Occidentali	Alpi Nord-occidentali	Alpi Bernesi	Alpi Bernesiin senso stretto	Catena Wildhorn-Wildstrubel	Gruppo del Wildhorn		I/B-12.II-F.16
Grand Nomenon		45.610931	7.236239	45.610931,7.236239	3000	3488	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Gran Paradiso > Massiccio del Gran Paradiso > Gruppo Grivola-Gran Serra > Massiccio della Grivola	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Gran Paradiso	Massiccio del Gran Paradiso	Gruppo Grivola-Gran Serra	Massiccio della Grivola	I/B-7.IV-A.3.b
Adula		46.4936	9.04	46.4936,9.04	3000	3402	Alpi Occidentali > Alpi Nord-occidentali > Alpi Lepontine > Alpi dell'Adula > Gruppo dell'Adula > Gruppo dell'Adulain senso stretto > Catena centrale dell'Adula	Alpi Occidentali	Alpi Nord-occidentali	Alpi Lepontine	Alpi dell'Adula	Gruppo dell'Adula	Gruppo dell'Adulain senso stretto	Catena centrale dell'Adula	I/B-10.III-B.3.a
Angerstein		47.51249	13.4899	47.51249,13.4899	2000	2100	Alpi Orientali > Alpi Nord-orientali > Alpi Settentrionali Salisburghesi > Monti del Dachstein > Gruppo del Gosau > 	Alpi Orientali	Alpi Nord-orientali	Alpi Settentrionali Salisburghesi	Monti del Dachstein	Gruppo del Gosau			II/B-25.I
Becco Alto d'Ischiator		44.28014	6.99593	44.28014,6.99593	2500	2998	Alpi Occidentali > Alpi Sud-occidentali > Alpi Marittime e Prealpi di Nizza > Alpi Marittime > Catena Corborant-Tenibres-Enciastraia > Gruppo del Tenibres > Gruppo dell'Ischiator	Alpi Occidentali	Alpi Sud-occidentali	Alpi Marittime e Prealpi di Nizza	Alpi Marittime	Catena Corborant-Tenibres-Enciastraia	Gruppo del Tenibres	Gruppo dell'Ischiator	I/A-2.I-C.11.a/a
Cima di Valmora (E)		45.931111	9.842222	45.931111,9.842222	2000	2198	Alpi Orientali > Alpi Sud-orientali > Alpi e Prealpi Bergamasche > Prealpi Bergamasche > Prealpi Bergamasche Centrali > Gruppo Arera-Menna > Gruppo dell'Arera	Alpi Orientali	Alpi Sud-orientali	Alpi e Prealpi Bergamasche	Prealpi Bergamasche	Prealpi Bergamasche Centrali	Gruppo Arera-Menna	Gruppo dell'Arera	II/C-29.II-B.5.a
Flachkogel Niederer		47.49991	13.49983	47.49991,13.49983	2000	2195	Alpi Orientali > Alpi Nord-orientali > Alpi Settentrionali Salisburghesi > Monti del Dachstein >  > Gosaukamm	Alpi Orientali	Alpi Nord-orientali	Alpi Settentrionali Salisburghesi	Monti del Dachstein		Gosaukamm		II/B-25.I
Grande Roise		45.67452	7.42367	45.67452,7.42367	3000	3357	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Gran Paradiso > Catena Emilius-Tersiva > Gruppo dell'Emilius > Nodo del Monte Emilius	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Gran Paradiso	Catena Emilius-Tersiva	Gruppo dell'Emilius	Nodo del Monte Emilius	I/B-7.IV-C.9.a
Jôf Fuârt		46.43062	13.49128	46.43062,13.49128	2500	2666	Alpi Orientali > Alpi Sud-orientali > Alpi e Prealpi Giulie > Alpi Giulie > Catena Jôf Fuart-Montasio > Gruppo del Jôf Fuart > Sottogruppo del Jôf Fuart	Alpi Orientali	Alpi Sud-orientali	Alpi e Prealpi Giulie	Alpi Giulie	Catena Jôf Fuart-Montasio	Gruppo del Jôf Fuart	Sottogruppo del Jôf Fuart	II/C-34.I-A.1.a
Kanjavec		46.360109	13.810716	46.360109,13.810716	2500	2569	Alpi Orientali > Alpi Sud-orientali > Alpi e Prealpi Giulie > Alpi Giulie > Catena del Tricorno > Gruppo del Tricorno > Nodo del Tricorno	Alpi Orientali	Alpi Sud-orientali	Alpi e Prealpi Giulie	Alpi Giulie	Catena del Tricorno	Gruppo del Tricorno	Nodo del Tricorno	II/C-34.I-E.8.a
Monte Coglians		46.607	12.888	46.607,12.888	2500	2780	Alpi Orientali > Alpi Sud-orientali > Alpi Carniche e della Gail > Alpi Carniche > Catena Carnica Occidentale > Cresta Coglians-Mooskofel > Massiccio del Coglians	Alpi Orientali	Alpi Sud-orientali	Alpi Carniche e della Gail	Alpi Carniche	Catena Carnica Occidentale	Cresta Coglians-Mooskofel	Massiccio del Coglians	II/C-33.I-A.4.a
Piz Terri		46.599998	9.033959	46.599998,9.033959	3000	3149	Alpi Occidentali > Alpi Nord-occidentali > Alpi Lepontine > Alpi dell'Adula > Catena Medel-Terri > Gruppo Terri-Cavel > Gruppo del Terri	Alpi Occidentali	Alpi Nord-occidentali	Alpi Lepontine	Alpi dell'Adula	Catena Medel-Terri	Gruppo Terri-Cavel	Gruppo del Terri	I/B-10.III-A.2.a
Tour Real		44.64001	6.97824	44.64001,6.97824	2500	2877	Alpi Occidentali > Alpi Sud-occidentali > Alpi Cozie > Alpi del Monviso > Gruppo del Chambeyron > Gruppo del Mongioia > Costiera del Mongioia	Alpi Occidentali	Alpi Sud-occidentali	Alpi Cozie	Alpi del Monviso	Gruppo del Chambeyron	Gruppo del Mongioia	Costiera del Mongioia	I/A-4.I-A.3.a
Visolotto		44.675745	7.085346	44.675745,7.085346	3000	3348	Alpi Occidentali > Alpi Sud-occidentali > Alpi Cozie > Alpi del Monviso > Gruppo del Monviso > Gruppo del Monvisopropriamente detto > Nodo del Monviso	Alpi Occidentali	Alpi Sud-occidentali	Alpi Cozie	Alpi del Monviso	Gruppo del Monviso	Gruppo del Monvisopropriamente detto	Nodo del Monviso	I/A-4.I-C.8.a
Adamello (monte)		46.156128	10.496361	46.156128,10.496361	3500	3539	Alpi Orientali > Alpi Sud-orientali > Alpi Retiche meridionali > Alpi dell'Adamello e della Presanella > Gruppo dell'Adamello > Gruppo dell'Adamelloin senso stretto > Massiccio dell'Adamello	Alpi Orientali	Alpi Sud-orientali	Alpi Retiche meridionali	Alpi dell'Adamello e della Presanella	Gruppo dell'Adamello	Gruppo dell'Adamelloin senso stretto	Massiccio dell'Adamello	II/C-28.III-A.1.b
Aiguille de Chambeyron		44.547778	6.856111	44.547778,6.856111	3000	3412	Alpi Occidentali > Alpi Sud-occidentali > Alpi Cozie > Alpi del Monviso > Gruppo del Chambeyron > Gruppo del Chambeyronpropriamente detto > Cresta dell'Aiguille de Chambeyron	Alpi Occidentali	Alpi Sud-occidentali	Alpi Cozie	Alpi del Monviso	Gruppo del Chambeyron	Gruppo del Chambeyronpropriamente detto	Cresta dell'Aiguille de Chambeyron	I/A-4.I-A.1.c
Aiguille du Moine		45.91629	6.96139	45.91629,6.96139	3000	3412	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Monte Bianco > Massiccio del Monte Bianco > Catena dell'Aiguille Verte > Costiera del Moine	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Monte Bianco	Massiccio del Monte Bianco	Catena dell'Aiguille Verte	Costiera del Moine	I/B-7.V-B.5.d
Aiguille du Plan		45.892923	6.905744	45.892923,6.905744	3500	3673	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Monte Bianco > Massiccio del Monte Bianco > Catena delle Aiguilles de Chamonix > Gruppo dell'Aiguille du Plan	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Monte Bianco	Massiccio del Monte Bianco	Catena delle Aiguilles de Chamonix	Gruppo dell'Aiguille du Plan	I/B-7.V-B.3.b
Aiguilles Septentrionale d'Arves		45.132376	6.341085	45.132376,6.341085	3000	3364	Alpi Occidentali > Alpi Sud-occidentali > Alpi del Delfinato > Alpi delle Grandes Rousses e delle Aiguilles d'Arves > Catena Aiguilles d'Arves-Mas de la Grave > Massiccio delle Aiguilles d'Arves > Gruppo delle Aiguilles d'Arves	Alpi Occidentali	Alpi Sud-occidentali	Alpi del Delfinato	Alpi delle Grandes Rousses e delle Aiguilles d'Arves	Catena Aiguilles d'Arves-Mas de la Grave	Massiccio delle Aiguilles d'Arves	Gruppo delle Aiguilles d'Arves	I/A-5.I-A.1.a
