Location	alt_Name	latitude	longitude	lat_long	altitude_span	altitude	SOIUSA	SOIUSA_Grande_Parte	SOIUSA_Grande_Settore	SOIUSA_Sezione	SOIUSA_Sottosezione	SOIUSA_Supergruppo	SOIUSA_Gruppo	SOIUSA_Sottogruppo	SOIUSA_Codice
Lenzspitze		46.104722	7.868611	46.104722,7.868611	4000	4293	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Mischabel e del Weissmies > massiccio del Mischabel > Catena dei Mischabel p.d.	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Mischabel e del Weissmies	massiccio del Mischabel	Catena dei Mischabel p.d.		I/B-9.V-A.2
Herbétet		45.545652	7.273371	45.545652,7.273371	3500	3778	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Gran Paradiso > Massiccio del Gran Paradiso > Gruppo Gran Paradiso-Roccia Viva > Sottogruppo del Gran Paradiso	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Gran Paradiso	Massiccio del Gran Paradiso	Gruppo Gran Paradiso-Roccia Viva	Sottogruppo del Gran Paradiso	I/B-7.IV-A.2.a
Bishorn		46.11777	7.71472	46.11777,7.71472	4000	4151	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Weisshorn e del Cervino > Catena Weisshorn-Zinalrothorn > Gruppo del Weisshorn	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Weisshorn e del Cervino	Catena Weisshorn-Zinalrothorn	Gruppo del Weisshorn		I/B-9.II-D.8
Breithorn Occidentale		45.940556	7.748056	45.940556,7.748056	4000	4165	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Monte Rosa > Gruppo del Monte Rosa > Catena Breithorn-Lyskamm	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Monte Rosa	Gruppo del Monte Rosa	Catena Breithorn-Lyskamm		I/B-9.III-A.1
Grande Rocheuse		45.934444	6.972778	45.934444,6.972778	4000	4102	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Monte Bianco > Massiccio del Monte Bianco > Catena dell'Aiguille Verte > Gruppo Aiguille Verte-Aiguilles du Dru	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Monte Bianco	Massiccio del Monte Bianco	Catena dell'Aiguille Verte	Gruppo Aiguille Verte-Aiguilles du Dru	I/B-7.V-B.5.c/a
Gross Windgällen		46.807222	8.732222	46.807222,8.732222	3000	3187	Alpi Occidentali > Alpi Nord-occidentali > Alpi Glaronesi > Alpi Urano-Glaronesi > Catena Oberalpstock-Clariden-Schärhorn > Gruppo Schärhorn-Windgällen > Catena del Windgällen	Alpi Occidentali	Alpi Nord-occidentali	Alpi Glaronesi	Alpi Urano-Glaronesi	Catena Oberalpstock-Clariden-Schärhorn	Gruppo Schärhorn-Windgällen	Catena del Windgällen	I/B-13.I-A.3.b
Grosshorn		46.486639	7.910889	46.486639,7.910889	3500	3754	Alpi Occidentali > Alpi Nord-occidentali > Alpi Bernesi > Alpi Bernesiin senso stretto > Catena Gletscherhorn-Blümlisalp-Balmhorn > Gruppo Gletscherhorn-Hockenhorn > Gruppo Gletscherhorn-Mittaghorn	Alpi Occidentali	Alpi Nord-occidentali	Alpi Bernesi	Alpi Bernesiin senso stretto	Catena Gletscherhorn-Blümlisalp-Balmhorn	Gruppo Gletscherhorn-Hockenhorn	Gruppo Gletscherhorn-Mittaghorn	I/B-12.II-D.9.a
Monte Rothorn		45.844305	7.78543	45.844305,7.78543	3000	3152	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Monte Rosa > Contrafforti valdostani del Monte Rosa > Costiera Testa Grigia-Frudiera > Costiera della Testa Grigia	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Monte Rosa	Contrafforti valdostani del Monte Rosa	Costiera Testa Grigia-Frudiera	Costiera della Testa Grigia	I/B-9.III-B.5.a
Piccolo Cervino		45.938333	7.729722	45.938333,7.729722	3500	3883	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Monte Rosa > Gruppo del Monte Rosa > Catena Breithorn-Lyskamm	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Monte Rosa	Gruppo del Monte Rosa	Catena Breithorn-Lyskamm		I/B-9.III-A.1
Roc (Gran Paradiso)		45.51564	7.2687	45.51564,7.2687	4000	4026	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Gran Paradiso > Massiccio del Gran Paradiso > Gruppo Gran Paradiso-Roccia Viva > Gruppo del Gran Paradiso	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Gran Paradiso	Massiccio del Gran Paradiso	Gruppo Gran Paradiso-Roccia Viva	Gruppo del Gran Paradiso	I/B-7.IV-A.2.a
Rocca Bernauda		45.101526	6.627281	45.101526,6.627281	3000	3225	Alpi Occidentali > Alpi Sud-occidentali > Alpi Cozie > Alpi del Moncenisio > Catena Bernauda-Pierre Menue-Ambin > Gruppo della Rocca Bernauda > Cresta Bernauda-Re Magi	Alpi Occidentali	Alpi Sud-occidentali	Alpi Cozie	Alpi del Moncenisio	Catena Bernauda-Pierre Menue-Ambin	Gruppo della Rocca Bernauda	Cresta Bernauda-Re Magi	I/A-4.III-B.4.a
Similaun		46.763611	10.880556	46.763611,10.880556	3500	3607	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche orientali > Alpi Venoste > Alpi Venoste Orientali > Cresta di Senales > Gruppo del Similaum	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche orientali	Alpi Venoste	Alpi Venoste Orientali	Cresta di Senales	Gruppo del Similaum	II/A-16.I-A.5.b
Stecknadelhorn		46.11139	7.85916	46.11139,7.85916	4000	4240	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Mischabel e del Weissmies > Massiccio del Mischabel > Catena dei Mischabel p.d.	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Mischabel e del Weissmies	Massiccio del Mischabel	Catena dei Mischabel p.d.		I/B-9.V-A.2
Tödi		46.8111	8.9147	46.8111,8.9147	3500	3612	Alpi Occidentali > Alpi Nord-occidentali > Alpi Glaronesi > Alpi Glaronesiin senso stretto > Catena del Tödi-Hausstock > Gruppo del Tödi	Alpi Occidentali	Alpi Nord-occidentali	Alpi Glaronesi	Alpi Glaronesiin senso stretto	Catena del Tödi-Hausstock	Gruppo del Tödi		I/B-13.II-A.1
Crodaccia Alta		46.64351	12.13325	46.64351,12.13325	3000	3015	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Sesto, di Braies e d'Ampezzo > Dolomiti di Braies > Croda Rossa d'Ampezzo > Sottogruppo della Croda d'Ampezzo	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Sesto, di Braies e d'Ampezzo	Dolomiti di Braies	Croda Rossa d'Ampezzo	Sottogruppo della Croda d'Ampezzo	II/C-31.I-B.9.a
Dolgi hrbet		46.3625	14.5458	46.3625,14.5458	2000	2473	Alpi Orientali > Alpi Sud-orientali > Alpi di Carinzia e di Slovenia > Alpi di Kamnik e della Savinja >  > 	Alpi Orientali	Alpi Sud-orientali	Alpi di Carinzia e di Slovenia	Alpi di Kamnik e della Savinja				
Dôme de Chasseforêt		45.330556	6.760556	45.330556,6.760556	3500	3586	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi della Vanoise e del Grand Arc > Massiccio della Vanoise > Gruppo del Dôme de Chasseforêt > Nodo del Dôme de Chasseforêt	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi della Vanoise e del Grand Arc	Massiccio della Vanoise	Gruppo del Dôme de Chasseforêt	Nodo del Dôme de Chasseforêt	I/B-7.II-D.8.b
Dôme du Goûter		45.841667	6.843333	45.841667,6.843333	4000	4306	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Monte Bianco > Massiccio del Monte Bianco > Gruppo del Monte Bianco > Gruppo Bionnassay-Goûter	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Monte Bianco	Massiccio del Monte Bianco	Gruppo del Monte Bianco	Gruppo Bionnassay-Goûter	I/B-7.V-B.2.a
Finsteraarhorn		46.539351	8.123918	46.539351,8.123918	4000	4274	Alpi Occidentali > Alpi Nord-occidentali > Alpi bernesi > Alpi bernesiin senso stretto > Catena Finsteraarhorn-Oberaarhorn-Galmihorn > Gruppo del Finsteraarhorn-Oberaarhorn > Gruppo del Finsteraarhorn	Alpi Occidentali	Alpi Nord-occidentali	Alpi bernesi	Alpi bernesiin senso stretto	Catena Finsteraarhorn-Oberaarhorn-Galmihorn	Gruppo del Finsteraarhorn-Oberaarhorn	Gruppo del Finsteraarhorn	I/B-12.II-A.2.b
Fletschhorn		46.167778	8.003056	46.167778,8.003056	3500	3993	Alpi Occidentali > Alpi Nord-occidentali > Alpi bernesi > Alpi bernesiin senso stretto > Catena Finsteraarhorn-Oberaarhorn-Galmihorn > Gruppo del Finsteraarhorn-Oberaarhorn > Gruppo del Finsteraarhorn	Alpi Occidentali	Alpi Nord-occidentali	Alpi bernesi	Alpi bernesiin senso stretto	Catena Finsteraarhorn-Oberaarhorn-Galmihorn	Gruppo del Finsteraarhorn-Oberaarhorn	Gruppo del Finsteraarhorn	I/B-12.II-A.2.b
Nesthorn		46.413333	7.925833	46.413333,7.925833	3500	3820	Alpi Occidentali > Alpi Nord-occidentali > Alpi Bernesi > Alpi Bernesiin senso stretto > Catena Aletschhorn-Bietschhorn > Gruppo Breithorn della Lötschental-Nesthorn	Alpi Occidentali	Alpi Nord-occidentali	Alpi Bernesi	Alpi Bernesiin senso stretto	Catena Aletschhorn-Bietschhorn	Gruppo Breithorn della Lötschental-Nesthorn		I/B-12.II-E.13
Pic Sans Nom		44.893333	6.383333	44.893333,6.383333	3500	3913	Alpi Occidentali > Alpi Sud-occidentali > Alpi del Delfinato > Massiccio des Écrins > Catena Pelvoux-Bans-Sirac > Catena Ailefroide-Pelvoux > Gruppo del Pelvoux	Alpi Occidentali	Alpi Sud-occidentali	Alpi del Delfinato	Massiccio des Écrins	Catena Pelvoux-Bans-Sirac	Catena Ailefroide-Pelvoux	Gruppo del Pelvoux	I/A-5.III-C.10.b
Cima del Lago Bianco		46.846667	10.717222	46.846667,10.717222	3000	3498	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche orientali > Alpi Venoste > Alpi Venoste Orientali > Gruppo della Palla Bianca > Gruppo della Cima del Lago Bianco	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche orientali	Alpi Venoste	Alpi Venoste Orientali	Gruppo della Palla Bianca	Gruppo della Cima del Lago Bianco	II/A-16.I-A.2.a
Cima dell'Accla		46.965833	11.244444	46.965833,11.244444	3000	3196	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche orientali > Alpi dello Stubai > Alpi Breonie Occidentali > Gruppo di Ridanna > Catena Cima Libera-Accla	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche orientali	Alpi dello Stubai	Alpi Breonie Occidentali	Gruppo di Ridanna	Catena Cima Libera-Accla	II/A-16.II-A.1.c/c
Cima Dura		46.961247	12.029035	46.961247,12.029035	3000	3135	Alpi Orientali > Alpi Centro-orientali > Alpi dei Tauri occidentali > Alti Tauri > Gruppo del Venediger > Gruppo Cima Dura-Monti di Predoi > Gruppo della Cima Dura	Alpi Orientali	Alpi Centro-orientali	Alpi dei Tauri occidentali	Alti Tauri	Gruppo del Venediger	Gruppo Cima Dura-Monti di Predoi	Gruppo della Cima Dura	II/A-17.II-A.2.b
Cima Libera		46.970217	11.190555	46.970217,11.190555	3000	3418	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche orientali > Alpi dello Stubai > Alpi Breonie Occidentali > Gruppo di Ridanna > Catena Cima Libera-Accla	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche orientali	Alpi dello Stubai	Alpi Breonie Occidentali	Gruppo di Ridanna	Catena Cima Libera-Accla	II/A-16.II-A.1.c
Cima Pisciadù		46.531419	11.824629	46.531419,11.824629	2500	2985	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Gardena e di Fassa > Dolomiti di Gardena > Gruppo del Sella > Sottogruppo del Pissadù	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Gardena e di Fassa	Dolomiti di Gardena	Gruppo del Sella	Sottogruppo del Pissadù	II/C-31.III-A.1.b
Cima Tessa		46.720833	10.971389	46.720833,10.971389	3000	3318	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche orientali > Alpi Venoste > Alpi Passirie > Giogaia di Tessa > Gruppo del Monterosso	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche orientali	Alpi Venoste	Alpi Passirie	Giogaia di Tessa	Gruppo del Monterosso	II/A-16.I-B.6.b
Monte Rosso (Alpi Venoste)		46.724642	10.98331	46.724642,10.98331	3000	3337	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche orientali > Alpi Venoste > Alpi Passirie > Giogaia di Tessa > Gruppo del Monterosso	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche orientali	Alpi Venoste	Alpi Passirie	Giogaia di Tessa	Gruppo del Monterosso	II/A-16.I-B.6.b
Monte Silvretta		46.858204	10.092566	46.858204,10.092566	3000	3244	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche occidentali > Alpi del Silvretta, del Samnaun e del Verwall > Gruppo del Silvretta > Catena Silvrettahorn-Piz Buin-Augstenberg > Gruppo del Silvrettahorn	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche occidentali	Alpi del Silvretta, del Samnaun e del Verwall	Gruppo del Silvretta	Catena Silvrettahorn-Piz Buin-Augstenberg	Gruppo del Silvrettahorn	II/A-15.VI-A.2.a
Monte Zingla		45.70362	10.53844	45.70362,10.53844	1000	1497	Alpi Orientali > Alpi Sud-orientali > Prealpi Bresciane e Gardesane > Prealpi Gardesane > Prealpi Gardesane Sud-occidentali > Pizzocolo Manos > Manos-Zingla	Alpi Orientali	Alpi Sud-orientali	Prealpi Bresciane e Gardesane	Prealpi Gardesane	Prealpi Gardesane Sud-occidentali	Pizzocolo Manos	Manos-Zingla	II/C-30.II-B.5.a
Piz Kesch		46.621306	9.872611	46.621306,9.872611	3000	3418	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche occidentali > Alpi dell'Albula > Catena Kesch-Chüealphorn-Grialetsch > Gruppo del Kesh i.s.a. > Gruppo del Keshin senso stretto	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche occidentali	Alpi dell'Albula	Catena Kesch-Chüealphorn-Grialetsch	Gruppo del Kesh i.s.a.	Gruppo del Keshin senso stretto	II/A-15.II-B.4.c
Piz Scerscen		46.378812	9.901192	46.378812,9.901192	3500	3970	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche occidentali > Alpi del Bernina > Catena Bernina-Scalino > Massiccio del Bernina > Gruppo del Bernina	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche occidentali	Alpi del Bernina	Catena Bernina-Scalino	Massiccio del Bernina	Gruppo del Bernina	II/A-15.III-A.1.c
Pizzo Badile Camuno		46.006014	10.401693	46.006014,10.401693	2000	2435	Alpi Orientali > Alpi Sud-orientali > Alpi Retiche meridionali > Alpi dell'Adamello e della Presanella > Gruppo dell'Adamello > Catena Re di Castello-Blumone > Gruppo del Frisozzo	Alpi Orientali	Alpi Sud-orientali	Alpi Retiche meridionali	Alpi dell'Adamello e della Presanella	Gruppo dell'Adamello	Catena Re di Castello-Blumone	Gruppo del Frisozzo	II/C-28.III-A.2.b
Pizzo Bernina		46.382423	9.908144	46.382423,9.908144	4000	4050	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche occidentali > Alpi del Bernina > Catena Bernina-Scalino > Massiccio del Bernina > Gruppo del Bernina	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche occidentali	Alpi del Bernina	Catena Bernina-Scalino	Massiccio del Bernina	Gruppo del Bernina	II/A-15.III-A.1.c
Pizzo del Diavolo di Tenda		46.045278	9.908194	46.045278,9.908194	2500	2914	Alpi Orientali > Alpi Sud-orientali > Alpi e Prealpi bergamasche > Alpi Orobie > Alpi Orobie Orientali > Gruppo di Coca > Gruppo del Pizzo del Diavolo	Alpi Orientali	Alpi Sud-orientali	Alpi e Prealpi bergamasche	Alpi Orobie	Alpi Orobie Orientali	Gruppo di Coca	Gruppo del Pizzo del Diavolo	II/C-29.I-A.2.c
Pizzo Suretta		46.50951	9.36239	46.50951,9.36239	3000	3027	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche occidentali > Alpi del Platta > Catena Suretta-Stella-Duan > Gruppo Suretta-Emet > Gruppo del Suretta	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche occidentali	Alpi del Platta	Catena Suretta-Stella-Duan	Gruppo Suretta-Emet	Gruppo del Suretta	II/A-15.I-A.1.a
Polluce (monte)		45.916667	7.783333	45.916667,7.783333	4000	4091	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Monte Rosa > Gruppo del Monte Rosa > Catena Breithorn-Lyskamm	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Monte Rosa	Gruppo del Monte Rosa	Catena Breithorn-Lyskamm		I/B-9.III-A.1
Presolana		45.9562	10.0557	45.9562,10.0557	2500	2521	Alpi Orientali > Alpi Sud-orientali > Alpi e Prealpi Bergamasche > Prealpi Bergamasche > Prealpi Bergamasche Orientali > Gruppo della Presolana > Costiera Presolana-Visolo-Bares	Alpi Orientali	Alpi Sud-orientali	Alpi e Prealpi Bergamasche	Prealpi Bergamasche	Prealpi Bergamasche Orientali	Gruppo della Presolana	Costiera Presolana-Visolo-Bares	II/C-29.II-C.7.b
Punta Bianca (Alpi della Zillertal)		46.9676	11.74738	46.9676,11.74738	3000	3371	Alpi Orientali > Alpi Centro-orientali > Alpi dei Tauri occidentali > Alpi della Zillertal > Gruppo del Gran Pilastro > Catena Gran Pilastro-Punta di Valle	Alpi Orientali	Alpi Centro-orientali	Alpi dei Tauri occidentali	Alpi della Zillertal	Gruppo del Gran Pilastro	Catena Gran Pilastro-Punta di Valle		II/A-17.I-B.3
Punta di Finale		46.780278	10.831667	46.780278,10.831667	3500	3514	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche orientali > Alpi Venoste > Alpi Venoste Orientali > Cresta di Senales > Gruppo della Punta di Finale	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche orientali	Alpi Venoste	Alpi Venoste Orientali	Cresta di Senales	Gruppo della Punta di Finale	II/A-16.I-A.5.a
Tour Jaune de Barabbas		45.027915	6.681571	45.027915,6.681571	2000	2365	Alpi Occidentali > Alpi Sud-occidentali > Alpi Cozie > Alpi del Moncenisio > Catena Chaberton-Tabor-Galibier > Gruppo del Chaberton > Gruppo Chaberton-Clotesse	Alpi Occidentali	Alpi Sud-occidentali	Alpi Cozie	Alpi del Moncenisio	Catena Chaberton-Tabor-Galibier	Gruppo del Chaberton	Gruppo Chaberton-Clotesse	I/A-4.III-A.1.a
Tour Noir		45.949019	7.037666	45.949019,7.037666	3500	3836	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Monte Bianco > Massiccio Dolent-Argentière-Trient > Catena Dolent-Tour Noir-Argentière > Gruppo Tour Noir-Darrey	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Monte Bianco	Massiccio Dolent-Argentière-Trient	Catena Dolent-Tour Noir-Argentière	Gruppo Tour Noir-Darrey	I/B-7.V-C.6.b
Velika Baba		46.378477	13.836629	46.378477,13.836629	2000	2127	Alpi Orientali > Alpi Sud-orientali > Alpi di Carinzia e di Slovenia > Alpi di Kamnik e della Savinja > Catena Mrzla gora-Grintovec-Ojstric > Gruppo della Mrzla gora > Sottogruppo del Babe	Alpi Orientali	Alpi Sud-orientali	Alpi di Carinzia e di Slovenia	Alpi di Kamnik e della Savinja	Catena Mrzla gora-Grintovec-Ojstric	Gruppo della Mrzla gora	Sottogruppo del Babe	II/C-35.II-B.2.a
Vordere Kopfwand		47.5026	13.5334	47.5026,13.5334	2000	2075	Alpi Orientali > Alpi Nord-orientali > Alpi Settentrionali Salisburghesi > Monti del Dachstein > Gruppo del Gosau > 	Alpi Orientali	Alpi Nord-orientali	Alpi Settentrionali Salisburghesi	Monti del Dachstein	Gruppo del Gosau			II/B-25.I
Wellenkuppe		46.041972	7.677833	46.041972,7.677833	3500	3898	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Weisshorn e del Cervino > Catena Weisshorn-Zinalrothorn > Gruppo Obergabelhorn-Zinalrothorn	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Weisshorn e del Cervino	Catena Weisshorn-Zinalrothorn	Gruppo Obergabelhorn-Zinalrothorn		I/B-9.II-D.7
Zeleniške		46.35222	14.62139	46.35222,14.62139	2000	2127	Alpi Orientali > Alpi Sud-orientali > Alpi di Carinzia e di Slovenia > Alpi di Kamnik e della Savinja >  > 	Alpi Orientali	Alpi Sud-orientali	Alpi di Carinzia e di Slovenia	Alpi di Kamnik e della Savinja				
