Name	latitude	longitude	in_evidence	in_evidence_description	storytelling_path	storytelling_path_description	Type	Note	Date	Year	Alpinist	Guide	Expedition_members	Reference	altitude_span	altitude	SOIUSA	SOIUSA_Grande_Parte	SOIUSA_Grande_Settore	SOIUSA_Sezione	SOIUSA_Sottosezione	SOIUSA_Supergruppo	SOIUSA_Gruppo	SOIUSA_Sottogruppo	SOIUSA_Codice
Ludwigshöhe	45.916506	7.863243	FALSE				First absolute ascent		25 agosto 1822	1822	Ludwig van Welden		Ludwig van Welden		4000	4342	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Monte Rosa > Gruppo del Monte Rosa > Massiccio del Monte Rosa > 	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Monte Rosa	Gruppo del Monte Rosa	Massiccio del Monte Rosa		I/B-9.III-A.2
Lyskamm Occidentale	45.9275	7.821944	FALSE				First absolute ascent		16 agosto1864	1864	Leslie Stephen, Edward North Buxton	Jakob Anderegg, Franz Biner	Leslie Stephen, Edward North Buxton, Jakob Anderegg, Franz Biner		4000	4481	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Monte Rosa > Gruppo del Monte Rosa > Catena Breithorn-Lyskamm > 	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Monte Rosa	Gruppo del Monte Rosa	Catena Breithorn-Lyskamm		I/B-9.III-A.1
Mangart	46.43951	13.65463	FALSE				First absolute ascent		1794	1794	Franz von Hohenwart		Franz von Hohenwart		2500	2677	Alpi Orientali > Alpi Sud-orientali > Alpi e Prealpi Giulie > Alpi Giulie > Catena Mangart-Jalovec > Gruppo del Mangart > Nodo del Mangart	Alpi Orientali	Alpi Sud-orientali	Alpi e Prealpi Giulie	Alpi Giulie	Catena Mangart-Jalovec	Gruppo del Mangart	Nodo del Mangart	II/C-34.I-C.4.b
Meije	45.004722	6.308611	FALSE				First absolute ascent		16 agosto1877	1877	Emmanuel Boileau de Castelnau, Pierre Gasparde figlio		Emmanuel Boileau de Castelnau, Pierre Gasparde figlio		3500	3983	Alpi Occidentali > Alpi Sud-occidentali > Alpi del Delfinato > Massiccio des Écrins > Catena Meije-Râteau-Soreiller > Gruppo della Meije > Nodo della Meije	Alpi Occidentali	Alpi Sud-occidentali	Alpi del Delfinato	Massiccio des Écrins	Catena Meije-Râteau-Soreiller	Gruppo della Meije	Nodo della Meije	I/A-5.III-B.7.b
Mönch	46.558515	7.997267	FALSE				First absolute ascent		15 agosto 1857	1857	Christian Almer, Christian Kaufmann, Ulrich Kaufmann, Sigismund Porges		Christian Almer, Christian Kaufmann, Ulrich Kaufmann, Sigismund Porges		4000	4105	Alpi Occidentali > Alpi Nord-occidentali > Alpi bernesi > Alpi bernesiin senso stretto > Catena Jungfrau-Fiescherhorn > Gruppo della Jungfrau > 	Alpi Occidentali	Alpi Nord-occidentali	Alpi bernesi	Alpi bernesiin senso stretto	Catena Jungfrau-Fiescherhorn	Gruppo della Jungfrau		I/B-12.II-B.4
Mont Greuvetta	45.884781	7.021201	FALSE				First absolute ascent		15 agosto1876	1876	Lionel Dècle	Henri Devouassoud, Edouard Cupelin	Lionel Dècle, Henri Devouassoud, Edouard Cupelin	[1]	3500	3684	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Monte Bianco > Massiccio del Monte Bianco > Catena Rochefort-Grandes Jorasses-Leschaux > Gruppo di Leschaux	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Monte Bianco	Massiccio del Monte Bianco	Catena Rochefort-Grandes Jorasses-Leschaux	Gruppo di Leschaux	I/B-7.V-B.4.c
Monte Besso	46.078611	7.658333	FALSE				First absolute ascent		1862	1862	J. B. Epinay, J. Vianin		J. B. Epinay, J. Vianin		3500	3667	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Weisshorn e del Cervino > Catena Weisshorn-Zinalrothorn > Gruppo Galbelhörner-Zinalrothorn > 	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Weisshorn e del Cervino	Catena Weisshorn-Zinalrothorn	Gruppo Galbelhörner-Zinalrothorn		I/B-9.II-D.7
Monte Bianco di Courmayeur	45.828889	6.869444	TRUE	Prima salita del Monte Bianco. Prima ascesa di Jacques Balmat e Michel-Gabriel Paccard, considerata l'inizio dell'alpinismo moderno.			First absolute ascent		18 agosto 1822	1822	Frederick Clissold, Joseph-Marie Couttet et al.		Frederick Clissold, Joseph-Marie Couttet et al.		4500	4765	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Monte Bianco > Massiccio del Monte Bianco > Gruppo del Monte Bianco > Monte Bianco	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Monte Bianco	Massiccio del Monte Bianco	Gruppo del Monte Bianco	Monte Bianco	I/B-7.V-B.2.b
Monte Brulé	45.954942	7.538273	FALSE				First absolute ascent		6 agosto 1882	1882	Alphonse Chambrelent, André Michelin, Edouard Michelin, Pierre Puiseux, Bernard Wolff, Marc Wolff		Alphonse Chambrelent, André Michelin, Edouard Michelin, Pierre Puiseux, Bernard Wolff, Marc Wolff		3500	3538	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Weisshorn e del Cervino > Catena Bouquetins-Cervino > Gruppo Bouquetins-Mont Brulé > Sottogruppo del Mont Brulé	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Weisshorn e del Cervino	Catena Bouquetins-Cervino	Gruppo Bouquetins-Mont Brulé	Sottogruppo del Mont Brulé	I/B-9.II-A.1.a
Monte Cancervo	45.914485	9.617734	FALSE				First absolute ascent		1940	1940	Fracassi-Colombo, Torrione del Cancervo		Fracassi-Colombo, Torrione del Cancervo		1500	1835	Alpi Orientali > Alpi Sud-orientali > Alpi e Prealpi Bergamasche > Prealpi Bergamasche > Prealpi Bergamasche Occidentali > Gruppo Campelli-Aralalta > Gruppo dell'Aralalta	Alpi Orientali	Alpi Sud-orientali	Alpi e Prealpi Bergamasche	Prealpi Bergamasche	Prealpi Bergamasche Occidentali	Gruppo Campelli-Aralalta	Gruppo dell'Aralalta	II/C-29.II-A.1.b
Monte Cavallo (Dolomiti Orientali di Badia)	46.614441	11.951418	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent		1953	1953	Georges Livanos (1° salita spigolo ovest)	Robert Gabriel	Georges Livanos (1° salita spigolo ovest), Robert Gabriel		2500	2907	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Sesto, di Braies e d'Ampezzo > Dolomiti Orientali di Badia > Gruppo delle Cunturines > 	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Sesto, di Braies e d'Ampezzo	Dolomiti Orientali di Badia	Gruppo delle Cunturines		II/C-31.I-C.12
