Name	latitude	longitude	in_evidence	in_evidence_description	storytelling_path	storytelling_path_description	Type	Note	Date	Year	Alpinist	Guide	Expedition_members	Reference	altitude_span	altitude	SOIUSA	SOIUSA_Grande_Parte	SOIUSA_Grande_Settore	SOIUSA_Sezione	SOIUSA_Sottosezione	SOIUSA_Supergruppo	SOIUSA_Gruppo	SOIUSA_Sottogruppo	SOIUSA_Codice
Becca di Gay	45.514317	7.321222	FALSE				First absolute ascent		14 giugno 1875	1875	Luigi Vaccarone, P. Palestrino, Antonio Castagneri, Antonio Boggiatto, G. Bricco		Luigi Vaccarone, P. Palestrino, Antonio Castagneri, Antonio Boggiatto, G. Bricco	Emanuele Andreis, Renato Chabod e Mario C. Santi, Gran Paradiso, Guida dei Monti d'Italia, Milano, Club Alpino Italiano e Touring Club Italiano, 1963.	3500	3621	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Gran Paradiso > Massiccio del Gran Paradiso > Gruppo Gran Paradiso-Roccia Viva > Sottogruppo Roccia Viva-Apostoli	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Gran Paradiso	Massiccio del Gran Paradiso	Gruppo Gran Paradiso-Roccia Viva	Sottogruppo Roccia Viva-Apostoli	I/B-7.IV-A.2.b
Levanne	45.406111	7.184444	FALSE				First absolute ascent		17 agosto1875	1875	Antonio Gramaglia, Luigi Vaccarone		Antonio Gramaglia, Luigi Vaccarone		3500	3619	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi di Lanzo e dell'Alta Moriana > Catena Levanne-Aiguille Rousse > Gruppo delle Levanne > Nodo delle Levanne	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi di Lanzo e dell'Alta Moriana	Catena Levanne-Aiguille Rousse	Gruppo delle Levanne	Nodo delle Levanne	I/B-7.I-C.8.a
Pic de la Grave	44.995701	6.253839	FALSE				First absolute ascent		14 luglio 1874	1874	William Auguste Coolidge, Christian Almer, R. Kauffman		William Auguste Coolidge, Christian Almer, R. Kauffman		3500	3667	Alpi Occidentali > Alpi Sud-occidentali > Alpi del Delfinato > Massiccio degli Écrins > Catena Meije-Râteau-Soreiller > Gruppo del Râteau > Catena Grave-Lauze-Jandri	Alpi Occidentali	Alpi Sud-occidentali	Alpi del Delfinato	Massiccio degli Écrins	Catena Meije-Râteau-Soreiller	Gruppo del Râteau	Catena Grave-Lauze-Jandri	I/A-5.III-B.8.b
Averau	46.5018	12.0397	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent		10 agosto 1874	1874	Santo Siorpaes, R. Issler		Santo Siorpaes, R. Issler		2500	2647	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Sesto, di Braies e d'Ampezzo > Dolomiti Ampezzane > Gruppo del Nuvolau > Dorsale del Nuvolau	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Sesto, di Braies e d'Ampezzo	Dolomiti Ampezzane	Gruppo del Nuvolau	Dorsale del Nuvolau	II/C-31.I-D.16.a
Mont Aiguille	44.842025	5.55251	FALSE				First absolute ascent		1492	1492	Antoine de Ville		Antoine de Ville		2000	2087	Alpi Occidentali > Alpi Sud-occidentali > Prealpi del Delfinato > Prealpi del Vercors > Catena Grand Veymont-Lans-Charande > Gruppo del Mont Aiguille > Cresta Mont Aiguille-Montagnette	Alpi Occidentali	Alpi Sud-occidentali	Prealpi del Delfinato	Prealpi del Vercors	Catena Grand Veymont-Lans-Charande	Gruppo del Mont Aiguille	Cresta Mont Aiguille-Montagnette	I/A-6.III-A.1.b
Carè Alto	46.108056	10.596111	FALSE				First absolute ascent		08/08/1865	1865	S.T. Taylor, Hugh de Fellenberg Montgomery		S.T. Taylor, Hugh de Fellenberg Montgomery		3000	3465	Alpi Orientali > Alpi Sud-orientali > Alpi Retiche meridionali > Alpi dell'Adamello e della Presanella > Gruppo dell'Adamello > Catena Carè Alto-Breguzzo > Gruppo del Carè Alto	Alpi Orientali	Alpi Sud-orientali	Alpi Retiche meridionali	Alpi dell'Adamello e della Presanella	Gruppo dell'Adamello	Catena Carè Alto-Breguzzo	Gruppo del Carè Alto	II/C-28.III-A.3.a
Aiguille du Goûter	45.850556	6.831111	FALSE				First absolute ascent		prima del 1784	1784	François Cuidet, François Gervais		François Cuidet, François Gervais	Renato Chabod, Lorenzo Grivel, Silvio Saglio, Monte Bianco, vol. I, Guida dei Monti d'Italia, Milano, Club Alpino Italiano e Touring Club Italiano, 1963, ISBN 88-365-0063-3.	3500	3863	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Monte Bianco > Massiccio del Monte Bianco > Gruppo del Monte Bianco > Gruppo Bionnassay-Goûter	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Monte Bianco	Massiccio del Monte Bianco	Gruppo del Monte Bianco	Gruppo Bionnassay-Goûter	I/B-7.V-B.2.a
Aiguille du Jardin	45.933889	6.975833	FALSE				First absolute ascent		1 agosto1904	1904	E. Fontaine	Jean Ravanel, Léon Tournier	E. Fontaine, Jean Ravanel, Léon Tournier		4000	4035	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Monte Bianco > Massiccio del Monte Bianco > Catena dell'Aiguille Verte > Gruppo Aiguille Verte-Aiguilles du Dru	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Monte Bianco	Massiccio del Monte Bianco	Catena dell'Aiguille Verte	Gruppo Aiguille Verte-Aiguilles du Dru	I/B-7.V-B.5.c/a
Aiguille du Midi	45.878889	6.888333	FALSE				First absolute ascent		4 agosto1818	1818	Antoni Malczewski, Jean-Michel Balmat	altre cinqueguide	Antoni Malczewski, Jean-Michel Balmat, altre cinqueguide		3500	3842	Alpi Occidentali > Alpi nord-occidentali > Alpi Graie > Alpi del Monte Bianco > Massiccio del Monte Bianco > Guglie di Chamonix > Gruppo dell'Aiguille du Midi	Alpi Occidentali	Alpi nord-occidentali	Alpi Graie	Alpi del Monte Bianco	Massiccio del Monte Bianco	Guglie di Chamonix	Gruppo dell'Aiguille du Midi	I/B-7.V-B.3.a
Brana (monte)	46.354906	14.587556	FALSE				First absolute ascent		1875	1875	Anton Bauer, J.Seidl		Anton Bauer, J.Seidl		2000	2259	Alpi Orientali > Alpi Sud-orientali > Alpi di Carinzia e di Slovenia > Alpi di Kamnik e della Savinja >  >  > 	Alpi Orientali	Alpi Sud-orientali	Alpi di Carinzia e di Slovenia	Alpi di Kamnik e della Savinja				
Cevedale II	46.448155	10.622294	FALSE				First absolute ascent		13 agosto 1864	1864	Edmund Mojsisovics, Sebastian Janiger		Edmund Mojsisovics, Sebastian Janiger		3500	3757	Alpi Orientali > Alpi Sud-orientali > Alpi Retiche meridionali > Alpi dell'Ortles > Gruppo Ortles-Cevedale > Gruppo del Cevedale > Gruppo Cevedale-San Matteo	Alpi Orientali	Alpi Sud-orientali	Alpi Retiche meridionali	Alpi dell'Ortles	Gruppo Ortles-Cevedale	Gruppo del Cevedale	Gruppo Cevedale-San Matteo	II/C-28.I-A.2.a
Punta Beltovo di Dentro	46.502778	10.628611	FALSE				First absolute ascent		agosto 1865	1865	Edmund Mojsisovics, Sebastian Janiger		Edmund Mojsisovics, Sebastian Janiger		3000	3325	Alpi Orientali > Alpi Sud-orientali > Alpi Retiche meridionali > Alpi dell'Ortles > Gruppo Ortles-Cevedale > Gruppo dell'Ortles > Gruppo Vertana-Angelo-Lasa	Alpi Orientali	Alpi Sud-orientali	Alpi Retiche meridionali	Alpi dell'Ortles	Gruppo Ortles-Cevedale	Gruppo dell'Ortles	Gruppo Vertana-Angelo-Lasa	II/C-28.I-A.1.e
Punta Walker	45.868805	6.988027	FALSE				First absolute ascent		30 giugno1868	1868	Horace Walker, Melchior Anderegg, Johann Jaun, Julien Grange		Horace Walker, Melchior Anderegg, Johann Jaun, Julien Grange		4000	4208	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Monte Bianco > Massiccio del Monte Bianco > Catena Rochefort-Grandes Jorasses-Leschaux > Gruppo delle Grandes Jorasses	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Monte Bianco	Massiccio del Monte Bianco	Catena Rochefort-Grandes Jorasses-Leschaux	Gruppo delle Grandes Jorasses	I/B-7.V-B.4.b
Äbeni Flue	46.507968	7.953598	FALSE				First absolute ascent		27/08/1868	1868	Thomas Lloyd Murray Browne	Peter Bohren, Peter Schlegel	Thomas Lloyd Murray Browne, Peter Bohren, Peter Schlegel		3500	3961	Alpi Occidentali > Alpi Nord-occidentali > Alpi Bernesi > Alpi Bernesiin senso stretto > Catena Gletscherhorn-Blümlisalp-Balmhorn > Gruppo Gletscherhorn-Hockenhorn > Gruppo Gletscherhorn-Mittaghorn	Alpi Occidentali	Alpi Nord-occidentali	Alpi Bernesi	Alpi Bernesiin senso stretto	Catena Gletscherhorn-Blümlisalp-Balmhorn	Gruppo Gletscherhorn-Hockenhorn	Gruppo Gletscherhorn-Mittaghorn	I/B-12.II-D.9.a
Cima Falkner	46.193546	10.904601	FALSE				First absolute ascent		estate 1882	1882	Alberto de Falkner	Antonio Dallagiacoma	Alberto de Falkner, Antonio Dallagiacoma		2500	2999	Alpi Orientali > Alpi Sud-orientali > Alpi Retiche meridionali > Dolomiti di Brenta > Gruppo di Brenta e della Paganella > Gruppo di Brenta > Massiccio del Grostè	Alpi Orientali	Alpi Sud-orientali	Alpi Retiche meridionali	Dolomiti di Brenta	Gruppo di Brenta e della Paganella	Gruppo di Brenta	Massiccio del Grostè	II/C-28.IV-A.1.a
Monte Razor	46.411893	13.79174	FALSE				First absolute ascent		1842	1842	Otto Sendtner		Otto Sendtner		2500	2601	Alpi Orientali > Alpi Sud-orientali > Alpi e Prealpi Giulie > Alpi Giulie > Catena della Škrlatica > Gruppo Prisank-Razor > 	Alpi Orientali	Alpi Sud-orientali	Alpi e Prealpi Giulie	Alpi Giulie	Catena della Škrlatica	Gruppo Prisank-Razor		II/C-34.I-D.6
Monte Sernio	46.474635	13.13913	FALSE				First absolute ascent		21 agosto 1879	1879	Minetta Grassi, Annina Grassi		Minetta Grassi, Annina Grassi		2000	2187	Alpi Orientali > Alpi Sud-orientali > Alpi Carniche e della Gail > Alpi Carniche > Alpi Tolmezzine Orientali > Gruppo Sernio-Grauzaria > Dorsale Sernio-Palasecca	Alpi Orientali	Alpi Sud-orientali	Alpi Carniche e della Gail	Alpi Carniche	Alpi Tolmezzine Orientali	Gruppo Sernio-Grauzaria	Dorsale Sernio-Palasecca	II/C-33.I-D.13.b
Monte Tullen	46.653993	11.774043	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent		6 ottobre 1895	1895	Hermann Delago		Hermann Delago		2500	2654	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Gardena e di Fassa > Dolomiti di Gardena > Gruppo Plose-Putia > Odle di Eores	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Gardena e di Fassa	Dolomiti di Gardena	Gruppo Plose-Putia	Odle di Eores	II/C-31.III-A.6.a/a
Muntanitz	47.073611	12.588889	FALSE				First absolute ascent		2 settembre1871	1871	Arthur von Schmid	Führer Thomas Groder	Arthur von Schmid, Führer Thomas Groder		3000	3232	Alpi Orientali > Alpi Centro-orientali > Alpi dei Tauri occidentali > Alti Tauri > Gruppo del Granatspitze > Gruppo Muntanitz-Kendlspitze > Costiera del Muntanitz	Alpi Orientali	Alpi Centro-orientali	Alpi dei Tauri occidentali	Alti Tauri	Gruppo del Granatspitze	Gruppo Muntanitz-Kendlspitze	Costiera del Muntanitz	II/A-17.II-B.5.a
Pic Gaspard	44.998333	6.330833	FALSE				First absolute ascent		1878	1878	Henry Duhamel	Pierre Gaspard, Christophe Roderon	Henry Duhamel, Pierre Gaspard, Christophe Roderon		3500	3881	Alpi Occidentali > Alpi Sud-occidentali > Alpi del Delfinato > Massiccio des Écrins > Catena Meije-Râteau-Soreiller > Gruppo della Meije > Nodo del Pic Gaspard	Alpi Occidentali	Alpi Sud-occidentali	Alpi del Delfinato	Massiccio des Écrins	Catena Meije-Râteau-Soreiller	Gruppo della Meije	Nodo del Pic Gaspard	I/A-5.III-B.7.a
Puitkogel	46.981394	10.901434	FALSE				First absolute ascent		29 agosto 1894	1894	F. Lantscher, Josef Gstrein		F. Lantscher, Josef Gstrein		3000	3345	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche orientali > Alpi Venoste > Alpi Venoste del Nord > Geigenkamm > 	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche orientali	Alpi Venoste	Alpi Venoste del Nord	Geigenkamm		II/A-16.I-C.9
Punta Basei	45.4753	7.11467	FALSE				First absolute ascent		1875	1875	C. Poccardi, G. Blanchetti		C. Poccardi, G. Blanchetti		3000	3338	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi della Grande Sassière e del Rutor > Catena Grande Sassière-Tsanteleina > Costiera Galisia-Entrelor-Bioula > 	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi della Grande Sassière e del Rutor	Catena Grande Sassière-Tsanteleina	Costiera Galisia-Entrelor-Bioula		I/A-7.III-A.1
Punta dei Cors	45.94995	7.60144	FALSE				First absolute ascent		27 luglio 1877	1877	Giuseppe Corona	Jean-Pierre Maquignaz	Giuseppe Corona, Jean-Pierre Maquignaz		3500	3849	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Weisshorn e del Cervino > Catena Bouquetins-Cervino > Gruppo Dents d'Hérens-Cervino > Sottogruppo delle Grandes et Petites Murailles	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Weisshorn e del Cervino	Catena Bouquetins-Cervino	Gruppo Dents d'Hérens-Cervino	Sottogruppo delle Grandes et Petites Murailles	I/B-9.II-A.2.c
Punta di Ceresole	45.513056	7.285278	FALSE				First absolute ascent		1º luglio 1874	1874	Alessandro E. Martelli	Jean-Joseph Maquignaz, Salomon Meynet	Alessandro E. Martelli, Jean-Joseph Maquignaz, Salomon Meynet	[1]	3500	3777	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Gran Paradiso > Massiccio del Gran Paradiso > Gruppo Gran Paradiso-Roccia Viva > Gruppo del Gran Paradiso	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Gran Paradiso	Massiccio del Gran Paradiso	Gruppo Gran Paradiso-Roccia Viva	Gruppo del Gran Paradiso	I/B-7.IV-A.2.a
Punta Ghigo	44.1875	7.2994	FALSE				First absolute ascent		20 agosto1903	1903	Victor De Cessole, Andrea Ghigo		Victor De Cessole, Andrea Ghigo		2500	2800	Alpi Occidentali > Alpi Sud-occidentali > Alpi Marittime e Prealpi di Nizza > Alpi Marittime > Catena Argentera-Pépoiri-Matto > Gruppo dell'Argentera > Massiccio dell'Argentera	Alpi Occidentali	Alpi Sud-occidentali	Alpi Marittime e Prealpi di Nizza	Alpi Marittime	Catena Argentera-Pépoiri-Matto	Gruppo dell'Argentera	Massiccio dell'Argentera	I/A-2.1-B.6.a
Punta Gnifetti	45.927222	7.876944	FALSE				First absolute ascent		9 agosto1842	1842	Giovanni Gnifetti, Cristoforo Ferraris, Cristoforo Grober, Giacomo Giordani, Giovanni Giordani, Giuseppe Farinetti		Giovanni Gnifetti, Cristoforo Ferraris, Cristoforo Grober, Giacomo Giordani, Giovanni Giordani, Giuseppe Farinetti		4500	4554	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Monte Rosa > Gruppo del Monte Rosa > Massiccio del Monte Rosa > 	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Monte Rosa	Gruppo del Monte Rosa	Massiccio del Monte Rosa		I/B-9.III-A.2
Punta Grober	45.922176	7.921801	FALSE				First absolute ascent		3 settembre 1874	1874	Antonio Grober, Giuseppe Antonelli, Giuseppe Necer	due portatori	Antonio Grober, Giuseppe Antonelli, Giuseppe Necer, due portatori		3000	3497	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Monte Rosa > Contrafforti valsesiani del Monte Rosa > Costiera Punta Grober-Tagliaferro-Montevecchio > Sottogruppo della Punta Grober	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Monte Rosa	Contrafforti valsesiani del Monte Rosa	Costiera Punta Grober-Tagliaferro-Montevecchio	Sottogruppo della Punta Grober	I/B-9.III-C.7.a
Punta Innominata	45.816508	6.876318	FALSE				First absolute ascent		23 luglio 1872	1872	Agostino Durazzo, Julien Grange, Séraphin Henry		Agostino Durazzo, Julien Grange, Séraphin Henry	[1]	3500	3730	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Monte Bianco > Massiccio del Monte Bianco > Gruppo del Monte Bianco > Contrafforti italiani del Monte Bianco	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Monte Bianco	Massiccio del Monte Bianco	Gruppo del Monte Bianco	Contrafforti italiani del Monte Bianco	I/B-7.V-B.2.c/c
Punta Malta	44.636667	7.104111	FALSE				First absolute ascent		1907	1907	Ubaldo Valbusa		Ubaldo Valbusa		2500	2995	Alpi Occidentali > Alpi Sud-occidentali > Alpi Cozie > Alpi del Monviso > Gruppo del Monviso > Gruppo del Monvisopropriamente detto > Costiera Lobbie-Rasciassa-Garitta Nuova	Alpi Occidentali	Alpi Sud-occidentali	Alpi Cozie	Alpi del Monviso	Gruppo del Monviso	Gruppo del Monvisopropriamente detto	Costiera Lobbie-Rasciassa-Garitta Nuova	I/A-4.I-C.8.b
Roccia Viva (montagna)	45.519167	7.33	FALSE				First absolute ascent		5 luglio 1874	1874	Alessandro E. Martelli	Jean-Joseph Maquignaz, Salomon Meynet	Alessandro E. Martelli, Jean-Joseph Maquignaz, Salomon Meynet		3500	3650	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Gran Paradiso > Massiccio del Gran Paradiso > Gruppo Gran Paradiso-Roccia Viva > Gruppo Roccia Viva-Apostoli	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Gran Paradiso	Massiccio del Gran Paradiso	Gruppo Gran Paradiso-Roccia Viva	Gruppo Roccia Viva-Apostoli	I/B-7.IV-A.2.b
Roche Faurio	44.941656	6.357908	FALSE				First absolute ascent		21 giugno 1873	1873	Thomas Cox, Frederick Gardiner, Richard Pendlebury, W.M. Pendlebury, C. Taylor	Hans e Peter Baumann, Peter Knubel, Josef Marie Lochmatter	Thomas Cox, Frederick Gardiner, Richard Pendlebury, W.M. Pendlebury, C. Taylor, Hans e Peter Baumann, Peter Knubel, Josef Marie Lochmatter	[1]	3500	3730	Alpi Occidentali > Alpi Sud-occidentali > Alpi del Delfinato > Massiccio degli Écrins > Catena Écrins-Grande Ruine-Agneaux > Gruppo della Roche Faurio > Cresta Roche Faurio-Tête de la Somme	Alpi Occidentali	Alpi Sud-occidentali	Alpi del Delfinato	Massiccio degli Écrins	Catena Écrins-Grande Ruine-Agneaux	Gruppo della Roche Faurio	Cresta Roche Faurio-Tête de la Somme	I/A-5.III-A.4.b
Torrone Alto	46.3461	9.0736	FALSE				First absolute ascent		17 giugno 1892	1892	L. Darmstädter	J. E G. Stabeler	L. Darmstädter, J. E G. Stabeler		2500	2948	Alpi Occidentali > Alpi Nord-occidentali > Alpi Lepontine > Alpi dell'Adula > Gruppo dell'Adula > Gruppo Fraciòn-Torrone Alto > Costiera del Torrone Alto	Alpi Occidentali	Alpi Nord-occidentali	Alpi Lepontine	Alpi dell'Adula	Gruppo dell'Adula	Gruppo Fraciòn-Torrone Alto	Costiera del Torrone Alto	I/B-10.III-B.6.b
Wetterhorn	46.638623	8.11537	FALSE				First absolute ascent		31 agosto1844	1844	Melchior Bannholzer, Johann Jaun		Melchior Bannholzer, Johann Jaun		3500	3690	Alpi Occidentali > Alpi Nord-occidentali > Alpi Bernesi > Alpi Bernesiin senso stretto > Catena Schreckhorn-Wetterhorn > Gruppo del Wetterhorn > Massiccio del Wetterhorn	Alpi Occidentali	Alpi Nord-occidentali	Alpi Bernesi	Alpi Bernesiin senso stretto	Catena Schreckhorn-Wetterhorn	Gruppo del Wetterhorn	Massiccio del Wetterhorn	I/B-12.II-C.7.a
Becca di Monciair	45.484838	7.23582	FALSE				First absolute ascent		14 luglio1881	1881	G. Frasca, G. Blanchetti		G. Frasca, G. Blanchetti	Emanuele Andreis, Renato Chabod e Mario C. Santi, Gran Paradiso, Guida dei Monti d'Italia, Milano, Club Alpino Italiano e Touring Club Italiano, 1963.	3500	3544	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Gran Paradiso > Massiccio del Gran Paradiso > Gruppo Ciarforon-Punta Fourà > 	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Gran Paradiso	Massiccio del Gran Paradiso	Gruppo Ciarforon-Punta Fourà		I/B-7.IV-A.1
Aiguille de la Tsa	46.021389	7.522222	FALSE				First absolute ascent		21 luglio 1868	1868	Pierre Beytrison	guide	Pierre Beytrison, guide		3500	3668	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Weisshorn e del Cervino > Catena Bouquetins-Cervino > Gruppo Bouquetins-Mont Brulé > Sottogruppo dei Bouquetins	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Weisshorn e del Cervino	Catena Bouquetins-Cervino	Gruppo Bouquetins-Mont Brulé	Sottogruppo dei Bouquetins	I/B-9.II-A.1.b
Monte Sautron	44.488078	6.877117	FALSE				First absolute ascent		1877	1877	Pio Paganini		Pio Paganini		3000	3166	Alpi Occidentali > Alpi Sud-occidentali > Alpi Cozie > Alpi del Monviso > Gruppo del Chambeyron > Gruppo del Chambeyronpropriamente detto > Cresta Monte Sautron-Monte Chambeyron	Alpi Occidentali	Alpi Sud-occidentali	Alpi Cozie	Alpi del Monviso	Gruppo del Chambeyron	Gruppo del Chambeyronpropriamente detto	Cresta Monte Sautron-Monte Chambeyron	I/A-4.I-A.1.b
Ojstrica	46.364167	14.637222	FALSE				First absolute ascent		1823	1823	Ernest Joanelli		Ernest Joanelli		2000	2350	Alpi Orientali > Alpi Sud-orientali > Alpi di Carinzia e di Slovenia > Alpi di Kamnik e della Savinja >  >  > 	Alpi Orientali	Alpi Sud-orientali	Alpi di Carinzia e di Slovenia	Alpi di Kamnik e della Savinja				
Schrankogel	47.044722	11.099167	FALSE				First absolute ascent		1840	1840	Pfarrer Schöpf		Pfarrer Schöpf		3000	3496	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche orientali > Alpi dello Stubai > Alpi dello Stubai del Nord > Gruppo dello Schrankogel > Gruppo Schrankogel-Ruderhofspitze	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche orientali	Alpi dello Stubai	Alpi dello Stubai del Nord	Gruppo dello Schrankogel	Gruppo Schrankogel-Ruderhofspitze	II/A-16.II-B.3.a
Trifthorn	46.051528	7.678333	FALSE				First absolute ascent		1872	1872	W. Béreneck		W. Béreneck		3500	3728	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Weisshorn e del Cervino > Catena Weisshorn-Zinalrothorn > Gruppo Galbelhörner-Zinalrothorn > 	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Weisshorn e del Cervino	Catena Weisshorn-Zinalrothorn	Gruppo Galbelhörner-Zinalrothorn		I/B-9.II-D.7
Pan di Zucchero (Alpi dello Stubai)	46.964444	11.153611	FALSE				First absolute ascent		1863	1863	Joseph Anton Specht, Alois Tanzer		Joseph Anton Specht, Alois Tanzer		3500	3507	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche orientali > Alpi dello Stubai > Alpi Breonie Occidentali > Gruppo di Ridanna > Gruppo del Pan di Zucchero i.s.a.	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche orientali	Alpi dello Stubai	Alpi Breonie Occidentali	Gruppo di Ridanna	Gruppo del Pan di Zucchero i.s.a.	II/A-16.II-A.1.a/b
Blümlisalp	46.488889	7.775	FALSE				First absolute ascent		27 agosto 1860	1860	Leslie Stephen, Melchior Anderegg, Robert Liveing, Fritz Ogi, P. Simond, J. K. Stone		Leslie Stephen, Melchior Anderegg, Robert Liveing, Fritz Ogi, P. Simond, J. K. Stone		3500	3664	Alpi Occidentali > Alpi Nord-occidentali > Alpi Bernesi > Alpi Bernesi > Catena Gletscherhorn-Blümlisalp-Balmhorn > Gruppo Blümlisalp-Doldenhorn > Gruppo del Blümlisalp	Alpi Occidentali	Alpi Nord-occidentali	Alpi Bernesi	Alpi Bernesi	Catena Gletscherhorn-Blümlisalp-Balmhorn	Gruppo Blümlisalp-Doldenhorn	Gruppo del Blümlisalp	I/B-12.II-D.10.a
Ciarforon	45.494444	7.246592	FALSE				First absolute ascent		25 agosto1871	1871	Filippo Vallino, A. Blanchetti		Filippo Vallino, A. Blanchetti	Emanuele Andreis, Renato Chabod e Mario C. Santi, Gran Paradiso, Guida dei Monti d'Italia, Milano, Club Alpino Italiano e Touring Club Italiano, 1963.	3500	3642	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Gran Paradiso > Massiccio del Gran Paradiso > Gruppo Ciarforon-Punta Fourrà > Nodo del Ciarforon	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Gran Paradiso	Massiccio del Gran Paradiso	Gruppo Ciarforon-Punta Fourrà	Nodo del Ciarforon	I/B-7.IV-A.1.b
Tresenta	45.500319	7.263572	FALSE				First absolute ascent		1867	1867	Martino Baretti, A. Blanchetti		Martino Baretti, A. Blanchetti	[2]	3500	3609	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Gran Paradiso > Massiccio del Gran Paradiso > Gruppo Ciarforon-Punta Fourrà > Nodo del Ciarforon	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Gran Paradiso	Massiccio del Gran Paradiso	Gruppo Ciarforon-Punta Fourrà	Nodo del Ciarforon	I/B-7.IV-A.1.b
Altels	46.42895	7.67861	FALSE				First absolute ascent		8 luglio 1874	1874	Hans Hari, Hermann Löhnert, Fritz Ogi, Adolf von Steiger, Friedrich Wyss-Wyss		Hans Hari, Hermann Löhnert, Fritz Ogi, Adolf von Steiger, Friedrich Wyss-Wyss		3500	3630	Alpi Occidentali > Alpi Nord-occidentali > Alpi Bernesi > Alpi Bernesi in senso stretto > Catena Gletscherhorn-Blümlisalp-Balmhorn > Gruppo Balmhorn-Torrenthorn > Gruppo del Balmhorn	Alpi Occidentali	Alpi Nord-occidentali	Alpi Bernesi	Alpi Bernesi in senso stretto	Catena Gletscherhorn-Blümlisalp-Balmhorn	Gruppo Balmhorn-Torrenthorn	Gruppo del Balmhorn	I/B-12.II-D.11.b
Becco della Pazienza	45.52181	7.33702	FALSE				First absolute ascent		6 agosto 1892	1892	George Yeld, F. Pession, A. Pellissier		George Yeld, F. Pession, A. Pellissier		3500	3606	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Gran Paradiso > Massiccio del Gran Paradiso > Gruppo Gran Paradiso-Roccia Viva > Gruppo Roccia Viva-Apostoli	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Gran Paradiso	Massiccio del Gran Paradiso	Gruppo Gran Paradiso-Roccia Viva	Gruppo Roccia Viva-Apostoli	I/B-7.IV-A.2.b
