Titolo	Location	Tipologia del luogo	Tipologia dello Spazio	Temporalità dello Spazio	Definizione dello spazio	Note sullo spazio	Interpretazione	osm_id	lat_long
I quindicimila passi	Vicenza	città, bosco	Aperto > Urbano > Città; Aperto > Naturale > Arboreo > Bosco					44580	45.6348591,11.4063543
Gomorra	Napoli							40767	40.8358846,14.2487679
Gomorra	Aberdeen							1900654	57.1482429,-2.0928095
Gomorra	Caserta							40940	41.2035192,14.1168624
Gomorra	Casal di Principe							41007	41.0114120,14.1248250
Gomorra	San Cipriano d'Aversa							40978	40.9988120,14.1317260
Gomorra	Casapesenna	paese, città	Aperto > Urbano > Paese; Aperto > Urbano > Città					40979	40.9915120,14.1361260
Sirene	nuova baja california	città, mare	Aperto > Urbano > Città; Aperto > Naturale > Acquatico > Mare						
L'ubicazione del bene	Milano	città	Aperto > Urbano > Città			Cortesforza (inventato)		44915	45.4641943,9.1896346
Bambini bonsai	Genova	città, interno	Aperto > Urbano > Città					44875	44.4072600,8.9338624
Cinacittà	Roma	città	Aperto > Urbano > Città					41485	41.8933203,12.4829321
Il viaggio dell'orsa									
Violazione	Bologna	città, campagna	Aperto > Urbano > Città; Aperto > Naturale > Rurale > Campagna					43172	44.4938203,11.3426327
Isolatria	Arcipelago de La Maddalena	mare	Aperto > Naturale > Acquatico > Mare					7454306	41.2127826,9.4066598
La vita in tempo di pace	Sharm el Sheik	interno, mare	Aperto > Naturale > Acquatico > Mare			Aereporto		872858698	25.4688226,56.3433687
La vita in tempo di pace	Milano	città	Aperto > Urbano > Città					44915	45.4641943,9.1896346
La vita in tempo di pace	Mar Egeo	mare	Aperto > Naturale > Acquatico > Mare			Capo Atreide, Lago di Kalamia		4594226	38.0622276,25.7205887
La vita in tempo di pace	Atene	città	Aperto > Urbano > Città					441183	37.9755648,23.7348324
La vita in tempo di pace	Roma	città	Aperto > Urbano > Città					41485	41.8933203,12.4829321
La lucina		montagna	Aperto > Naturale > Rilievo > Montagna						
Condominio oltremare	Rimini	mare, città	Aperto > Naturale > Acquatico > Mare; Aperto > Urbano > Città					42661	43.9465433,12.6307490
Condominio oltremare	Riviera Romagnola	mare, città	Aperto > Naturale > Acquatico > Mare; Aperto > Urbano > Città						
Condominio oltremare	Cervia	mare, città	Aperto > Naturale > Acquatico > Mare; Aperto > Urbano > Città					42959	44.2609836,12.3495462
Condominio oltremare	Lido delle Nazioni a Comacchio	mare, città	Aperto > Naturale > Acquatico > Mare; Aperto > Urbano > Città					248100655	44.7426066,12.2412215
Condominio oltremare	Lago delle Nazioni	mare, città	Aperto > Naturale > Acquatico > Mare; Aperto > Urbano > Città					25332893	44.7688281,12.2412809
Anna	Palermo	campagna, città, mare	Aperto > Naturale > Rurale > Campagna; Aperto > Urbano > Città; Aperto > Naturale > Acquatico > Mare					39513	38.1112268,13.3524434
Anna	Torre Normanna	campagna, città, mare	Aperto > Naturale > Rurale > Campagna; Aperto > Urbano > Città; Aperto > Naturale > Acquatico > Mare					443171345	40.6204066,16.1472078
Anna	Cefalù	campagna, città, mare	Aperto > Naturale > Rurale > Campagna; Aperto > Urbano > Città; Aperto > Naturale > Acquatico > Mare					39444	38.0349570,14.0244562
Anna	Messina	campagna, città, mare	Aperto > Naturale > Rurale > Campagna; Aperto > Urbano > Città; Aperto > Naturale > Acquatico > Mare					39514	38.1937571,15.5542082
Cade la terra	Italia meridionale	paese	Aperto > Urbano > Paese			Alento (inventato)		17514288	40.4053173,15.9328381
Le cose semplici	Parigi	città	Aperto > Urbano > Città					71525	48.8534951,2.3483915
Le cose semplici	New York	città	Aperto > Urbano > Città					175905	40.7127281,-74.0060152
Le cose semplici	Long Island	città	Aperto > Urbano > Città					3955977	40.8514970,-73.0994297
Le cose semplici	Milano	città	Aperto > Urbano > Città					44915	45.4641943,9.1896346
Qualcosa, là fuori	Napoli							40767	40.8358846,14.2487679
Qualcosa, là fuori	San Francisco							111968	37.7792588,-122.4193286
Qualcosa, là fuori	Chignolo							845681277	45.8492096,9.5099311
Qualcosa, là fuori	Lodi							44181	45.2613104,9.4916781
Qualcosa, là fuori	Milano							44915	45.4641943,9.1896346
Qualcosa, là fuori	Como							45614	45.9394759,9.1494101
Qualcosa, là fuori	Lugano							2888417	46.0050102,8.9520281
Qualcosa, là fuori	Kriessern							1884082999	47.3653317,9.6071943
Qualcosa, là fuori	lago di Costanza							1156846	47.6477691,9.3471796
Qualcosa, là fuori	Bregenz							75073	47.5025779,9.7472924
Qualcosa, là fuori	Ulm							62495	48.3984968,9.9912458
Qualcosa, là fuori	Elchingen							941078	48.4525086,10.0842004
Qualcosa, là fuori	Wurzburg							62464	49.7780356,9.9434769
